legacy_symbol,current_symbol,source
AAT1,CFAP91,alias_symbol
AAT1ALPHA,CFAP91,alias_symbol
AATK,LMTK1,prev_symbol
AATK-AS1,PVALEF,prev_symbol
AATYK,LMTK1,alias_symbol
AATYK1,LMTK1,alias_symbol
AATYK2,LMTK2,alias_symbol
AATYK3,LMTK3,alias_symbol
AAV,AAVS1,alias_symbol
AAVR,KIAA0319L,alias_symbol
AB-DIP,QRICH1,alias_symbol
AB014085.4,HCG19P,alias_symbol
AB023048.2,HCG21,alias_symbol
AB023051.1,HCG20,alias_symbol
AB023060.6,POLR2LP1,alias_symbol
AB073614,CP,alias_symbol
ABAD,HSD17B10,alias_symbol
ABBA,MTSS2,alias_symbol
ABBA-1,MTSS2,alias_symbol
ABBP1,HNRNPAB,alias_symbol
ABC-C,ABCA3,alias_symbol
ABC1,ABCA1,prev_symbol
ABC16,ABCB11,alias_symbol
ABC2,ABCA2,prev_symbol
ABC20,ABCB1,alias_symbol
ABC28,ABCF2,alias_symbol
ABC3,ABCA3,prev_symbol
ABC35,CFTR,alias_symbol
ABC36,ABCC8,alias_symbol
ABC50,ABCF1,prev_symbol
ABC7,ABCB7,prev_symbol
ABC8,ABCG1,alias_symbol
ABCA10P,ABCA11P,alias_symbol
ABCA11,ABCA11P,prev_symbol
ABCA15P1,ABCA15P,alias_symbol
ABCA15P2,ABCA16P,alias_symbol
ABCA3P1,ABCA16P,prev_symbol
ABCB10P,ABCB10P1,prev_symbol
ABCB10P2,ABCB10P1,prev_symbol
ABCB2,TAP1,prev_symbol
ABCB3,TAP2,prev_symbol
ABCB5ALPHA,ABCB5,alias_symbol
ABCB5BETA,ABCB5,alias_symbol
ABCC13P,ABCC13,alias_symbol
ABCC7,CFTR,prev_symbol
ABCD-1,CCL22,alias_symbol
ABCD-2,CCL17,alias_symbol
ABCD-3,CX3CL1,alias_symbol
ABCF2-H2BE1,ABCF2-H2BK1,prev_symbol
ABCP,ABCG2,alias_symbol
ABCR,ABCA4,prev_symbol
