gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h
AXIN2,1.92548399750079,0.0115558397814731,1.72460041809094,0.018540235538666,-0.0294829381400806,0.999847911406781,1.29682050673783,0.0375749278186373,1.510710462414385
IQCD,1.2142249927968,0.130536499752988,1.77722420319425,0.00858808158530348,-0.0204786847683957,0.999847911406781,1.20487564438742,3.69354481820137e-05,1.491049923790835
SEMA4G,-1.05955167553408,0.000124445017633321,1.09810196993083,8.08810945219978e-08,0.50416719187631,0.999847911406781,1.87536668153018,4.71360801560802e-17,1.486734325730505
RP11-465B22.3,-0.290862675792193,0.601607975735332,1.31791989107851,0.000192412044706153,0.699094112619769,0.999847911406781,1.64863674417369,2.31329012551183e-05,1.4832783176261
EPB41L1,-0.937597452235516,5.30781365854548e-27,1.70265635994157,1.97854184527801e-157,0.412615875813202,0.148150752480457,1.25567961428376,2.02331949896466e-25,1.479167987112665
GNG7,-1.18027256500623,0.000121805812292646,1.04582071083488,2.45070180795901e-06,0.222613208480682,0.999847911406781,1.88681679247155,2.68654302433755e-10,1.466318751653215
SESN3,-1.47526696574197,1.85077545669798e-10,1.3507831580499,2.8146952807747e-18,0.188987153934906,0.999847911406781,1.57720703945009,1.08539000366383e-08,1.463995098749995
PAIP2B,0.0553189837350599,0.913779292582405,1.47217837084697,7.68873067252887e-08,-0.0774096601098583,0.999847911406781,1.39638748599347,1.86669491389947e-06,1.4342829284202199
PIH1D2,1.24489552559723,0.105956323736838,1.80705513416715,0.00558949812286878,0.108026890712356,0.999847911406781,1.03129093214308,0.000617858159672822,1.419173033155115
CLDN4,1.38100829423257,2.16891075270014e-27,1.20446960189016,3.55685424856837e-25,0.00596626743601588,0.999847911406781,1.60475849542764,1.43819217961137e-82,1.4046140486589
ATL1,-0.110952575380577,0.888736838980919,1.27482286010837,0.00486972951864311,0.129091420826559,0.999847911406781,1.42759468592152,1.63168277852104e-05,1.3512087730149451
HKDC1,-2.59552711875644,2.07646673024252e-67,1.05235058546433,9.90689077168623e-31,1.05917433755597,0.0395815972453592,1.59909745819558,2.01087679164018e-08,1.3257240218299549
CYP1B1,-1.59173088960199,6.66581794728604e-15,1.46327153315946,8.55338243495986e-29,0.0531418350111524,0.999847911406781,1.09777843311286,0.0243125592383027,1.2805249831361598
CXXC4,-2.27333748998795,0.0122635131999077,1.28348327716189,0.0196942925098759,0.186672288200462,0.999847911406781,1.24668488541015,4.67710520571139e-08,1.26508408128602
CAPN5,1.72110112818384,8.35395182247191e-43,1.50048948611464,6.26024410124901e-39,0.0435186416473741,0.999847911406781,1.01463991320768,5.03913701891333e-17,1.25756469966116
SMIM14,-2.07803590256563,1.08952188180401e-25,1.28977932370816,2.77253832491905e-26,0.299549665266666,0.999847911406781,1.21988866488476,5.56388497703915e-16,1.25483399429646
MFGE8,-1.1947159045161,2.21086519465235e-19,1.39319046083283,8.78017375350826e-52,0.169130836156433,0.999847911406781,1.10543341264816,6.08849141663113e-23,1.249311936740495
ACBD7,-0.442059681502667,0.280628924666613,1.03544098415684,0.000297118320043104,0.120440037958827,0.999847911406781,1.42318459247546,0.00167127013285576,1.2293127883161499
LINC00482,-1.27425196257407,0.174834222024298,1.30310308993777,0.0397458241764135,0.0600700167117804,0.999847911406781,1.12775454640717,9.42047760988191e-05,1.21542881817247
CELSR2,0.198528415214007,0.0218714468625791,1.00340919544602,1.43115613364156e-51,0.861714888934434,2.86973670292946e-05,1.33402849668869,2.73763468980717e-16,1.168718846067355
ADD3,-0.377008261970685,0.000163408607048112,1.08161988386752,6.23391520025648e-45,0.226688574090364,0.999847911406781,1.21520161343075,1.44363241800408e-16,1.1484107486491348
TUBB4A,1.01803589556865,2.63335380801558e-09,1.03006440855164,2.13358680021972e-11,0.050290164020423,0.999847911406781,1.22270562693772,0.000420097786187752,1.12638501774468
KLHDC9,-0.484772410437234,0.198048391013663,1.13007491279975,1.57172687752995e-05,0.201667176393874,0.999847911406781,1.11607126509409,0.000179086913259655,1.12307308894692
HMGN5,-1.08100145829793,0.00577450397029337,1.00159857904986,0.000469085290612381,0.418537039220045,0.999847911406781,1.19035805936144,1.19076031888838e-08,1.09597831920565
C20orf112,-0.0658777434996856,0.814940878111273,1.08316830070426,1.97879102969182e-11,0.103785340888335,0.999847911406781,1.10482868168697,3.15161870306236e-10,1.0939984911956149
ALDH6A1,-2.31484909867935,1.09640447046732e-39,1.05561788516562,3.36295893217438e-23,0.146874065868577,0.999847911406781,1.05096804267124,5.53036692185443e-13,1.0532929639184299
