gene,l2fc_12h_2C,q_12h_2C,l2fc_48h_2C,q_48h_2C,l2fc_disease_12h_2C,l2fc_disease_48h_2C,l2fc_12h_219,q_12h_219,l2fc_48h_219,q_48h_219,l2fc_disease_12h_219,l2fc_disease_48h_219,up_RMC2C,up_RMC219,up_both,mean_l2fc_disease_48h
ZMYND10,0.925230225770859,0.467162454717703,0.634693709631022,0.653638412035343,-0.925230225770859,-0.634693709631022,0.168052761018373,0.999847911406781,1.46622266003734,1.21855706110789e-07,-0.168052761018373,-1.46622266003734,False,False,False,-1.050458184834181
ARX,0.234766479731608,0.925621782318999,1.40782859016036,0.450901790501123,-0.234766479731608,-1.40782859016036,0.140659679534956,,2.49994178663674,,-0.140659679534956,-2.49994178663674,False,False,False,-1.95388518839855
SLC25A13,0.60091965470265,5.82478876365946e-17,0.0347954984711624,0.752887644636129,-0.60091965470265,-0.0347954984711624,-0.028934743553441,0.999847911406781,-0.104611226596755,0.284468786949793,0.028934743553441,0.104611226596755,False,False,False,0.03490786406279629
ST7,0.460382895917589,9.33928315384746e-05,0.334296982122741,0.00252253011799507,-0.460382895917589,-0.334296982122741,-0.0883071441357583,0.999847911406781,-0.0694310405728294,0.65873735238127,0.0883071441357583,0.0694310405728294,False,False,False,-0.1324329707749558
CDC27,0.339233449031172,1.34000561249318e-09,-0.186820659243562,0.000503947318699034,-0.339233449031172,0.186820659243562,-0.00274599821643142,0.999847911406781,0.0970944831041795,0.614476680749416,0.00274599821643142,-0.0970944831041795,False,False,False,0.044863088069691255
SLC4A1,0.0746095211075289,,1.63380305025034,,-0.0746095211075289,-1.63380305025034,-1.394323750932,,-2.19302672101039,,1.394323750932,2.19302672101039,False,False,False,0.2796118353800251
CALCR,-2.37826684959663,0.013126511399571,-0.476829545537903,0.595078903919833,2.37826684959663,0.476829545537903,-0.0620946150925054,0.999847911406781,-0.281682849058864,0.64023222956619,0.0620946150925054,0.281682849058864,False,False,False,0.3792561972983835
HCCS,0.860625814102812,8.57720058845314e-27,0.0167521116690314,0.907284945033493,-0.860625814102812,-0.0167521116690314,-0.0755005838985032,0.999847911406781,-0.559638753769008,2.70212820521921e-05,0.0755005838985032,0.559638753769008,False,True,False,0.27144332104998825
DVL2,-0.518658926347727,7.0140560297213e-13,-0.0727350989317215,0.394257758339141,0.518658926347727,0.0727350989317215,-0.189602320661572,0.999847911406781,-0.00272127657741303,0.985841662867183,0.189602320661572,0.00272127657741303,False,False,False,0.037728187754567266
PRSS22,-1.09954501712828,,-2.89834334036782,0.23360300380562,1.09954501712828,2.89834334036782,-0.174355103730142,0.999847911406781,-0.775211531180287,0.0104737721404902,0.174355103730142,0.775211531180287,False,True,False,1.8367774357740534
UPF1,0.399293808387623,1.18932567427004e-14,0.0321841545285316,0.663458857457379,-0.399293808387623,-0.0321841545285316,-0.0920639849704809,0.999847911406781,-0.475850657058019,0.000150958104653254,0.0920639849704809,0.475850657058019,False,False,False,0.22183325126474368
