context,refit_context,rule,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
SarcUC,SarcUC,q<0.05 & logFC>0.5,Renal_cell_carcinoma,7,67,1172,20363,0.08971693843105753,CDC42; FLCN; HGF; PDGFB; PIK3CD; RAPGEF1; TGFB1,0.3229809783518071
SarcUC,SarcUC,q<0.05 & logFC>0.5,Epigenetic_Regulation,12,92,1172,20363,0.006410531560858091,CBX2; CBX8; DNMT1; DNMT3A; EZH2; HDAC10; KAT2A; KDM1A; NSD2; PHC2; SIRT6; UHRF1,0.05769478404772282
SarcUC,SarcUC,p<0.05 & logFC>0.5,Cell_Cycle,22,157,1172,20363,9.767699585779276e-05,ABL1; ANAPC11; ANAPC2; ANAPC4; ATM; CCNE1; CDC20; CDC25B; CDCA5; CDKN2A; CDKN2C; CDKN2D; DDX11; ESPL1; GADD45G; MAD1L1; MAD2L1BP; MCM2; MCM5; MDM2; PKMYT1; TGFB1,0.0017581859254402698
SarcUC,SarcUC,p<0.05 & logFC>0.5,Apoptosis,10,135,1172,20363,0.25027591244883207,ATF4; ATM; CTSL; DIABLO; GADD45G; PIDD1; PIK3CD; RIPK1; TRADD; TRAF2,0.5005518248976641
SarcUC,SarcUC,p<0.05 & logFC>0.5,HIF1_signaling,3,107,1172,20363,0.9499477924315008,ANGPT2; PIK3CD; PRKCB,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,VEGF_signaling,4,56,1172,20363,0.40410170423613556,CDC42; PIK3CD; PLA2G4C; PRKCB,0.6612573342045854
SarcUC,SarcUC,p<0.05 & logFC>0.5,Homologous_Recombination,6,41,1172,20363,0.028730419371905208,ATM; BARD1; MRE11; PALB2; RAD52; TOP3A,0.12928688717357345
SarcUC,SarcUC,p<0.05 & logFC>0.5,PI3K_AKT_signaling,23,356,1172,20363,0.3130974736805212,ANGPT2; ATF4; CCNE1; COL6A2; CSF1; FGFR1; GNB3; GNG10; GNGT2; HGF; ITGA10; ITGB5; LPAR2; MDM2; PDGFA; PDGFB; PGF; PIK3CD; PKN1; PPP2R3B; RXRA; TSC1; VEGFC,0.5635754526249382
SarcUC,SarcUC,p<0.05 & logFC>0.5,p53_signaling,10,75,1172,20363,0.010560051959375899,ATM; CCNE1; CDKN2A; GADD45G; GTSE1; MDM2; PIDD1; RRM2; SIVA1; TP53I3,0.0633603117562554
SarcUC,SarcUC,p<0.05 & logFC>0.5,Chemokine_signaling,15,188,1172,20363,0.125626670439482,CCL13; CCL3; CDC42; CXCL16; FGR; GNB3; GNG10; GNGT2; GRK6; HCK; PIK3CD; PLCB2; PRKCB; SHC1; VAV3,0.376880011318446
SarcUC,SarcUC,p<0.05 & logFC>0.5,Cytokine_receptor_interaction,13,295,1172,20363,0.8731137350619032,CCL13; CCL3; CNTF; CSF1; CXCL16; IL10RA; IL11RA; IL15; IL21R; RELT; TGFB1; TNFRSF19; TNFRSF6B,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,Antigen_processing_presentation,3,78,1172,20363,0.8340090198700798,CTSL; NFYA; TAP1,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,PDL1_PD1_checkpoint,4,88,1172,20363,0.7529135096869455,BATF3; LAT; PIK3CD; TRAF6,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,Pentose_phosphate_pathway,1,30,1172,20363,0.8313026812693991,G6PD,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,Arachidonic_acid_metabolism,4,61,1172,20363,0.46911528098579364,GGT5; LTC4S; PLA2G4C; PTGES2,0.7036729214786904
SarcUC,SarcUC,p<0.05 & logFC>0.5,Neuroactive_ligand_receptor,13,366,1172,20363,0.9799502279628752,ADORA2A; APLN; GNRH1; GRIK2; GZMA; LPAR2; LTB4R; NR3C1; OGFR; S1PR3; TBXA2R; UCN; UCN2,0.9799502279628752
SarcUC,SarcUC,p<0.05 & logFC>0.5,Prostate_cancer,8,104,1172,20363,0.24944657280049637,ATF4; CCNE1; FGFR1; MDM2; MMP9; PDGFA; PDGFB; PIK3CD,0.5005518248976641
SarcUC,SarcUC,p<0.05 & logFC>0.5,Bladder_cancer,4,40,1172,20363,0.19660871784079495,CDKN2A; MDM2; MMP9; TYMP,0.5005518248976641
SarcUC,SarcUC,p<0.05 & logFC>0.5,Renal_cell_carcinoma,7,67,1172,20363,0.08971693843105753,CDC42; FLCN; HGF; PDGFB; PIK3CD; RAPGEF1; TGFB1,0.3229809783518071
SarcUC,SarcUC,p<0.05 & logFC>0.5,Epigenetic_Regulation,12,92,1172,20363,0.006410531560858091,CBX2; CBX8; DNMT1; DNMT3A; EZH2; HDAC10; KAT2A; KDM1A; NSD2; PHC2; SIRT6; UHRF1,0.05769478404772282
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Cell_Cycle,0,158,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Apoptosis,2,136,225,20753,0.4349889322159999,ITPR3; MAPK10,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,HIF1_signaling,1,109,225,20753,0.6961828803607857,CAMK2B,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,VEGF_signaling,0,58,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Homologous_Recombination,0,41,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,PI3K_AKT_signaling,2,357,225,20753,0.9017048101905157,GNG4; KITLG,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,p53_signaling,1,74,225,20753,0.5542978675886425,PERP,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Chemokine_signaling,2,186,225,20753,0.6011712874656274,GNG4; PLCB4,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Cytokine_receptor_interaction,2,289,225,20753,0.823507002653865,GDF15; TNFRSF11A,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Antigen_processing_presentation,0,69,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,PDL1_PD1_checkpoint,0,86,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Pentose_phosphate_pathway,0,30,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Arachidonic_acid_metabolism,0,61,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Neuroactive_ligand_receptor,6,355,225,20753,0.1892528450875274,CALCA; GLRA3; GRIK3; NMUR2; RXFP3; UCN3,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Prostate_cancer,0,104,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Bladder_cancer,1,41,225,20753,0.36069582547872314,CDH1,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Renal_cell_carcinoma,0,68,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,q<0.05 & logFC>0.5,Epigenetic_Regulation,0,93,225,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Cell_Cycle,10,158,1294,20753,0.5272664487519004,ANAPC11; CCNE2; CDC45; CDKN2C; CDKN2D; E2F2; GADD45G; PTTG1; PTTG2; WEE2,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Apoptosis,5,136,1294,20753,0.9316549370182543,BCL2L1; GADD45G; ITPR3; MAP3K5; MAPK10,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,HIF1_signaling,7,109,1294,20753,0.5237723588509084,ALDOA; ANGPT2; CAMK2B; EGLN3; ENO2; PFKP; TFRC,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,VEGF_signaling,3,58,1294,20753,0.709674764243021,NFATC2; PPP3CA; SHC2,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Homologous_Recombination,0,41,1294,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,PI3K_AKT_signaling,13,357,1294,20753,0.9892963178508111,ANGPT2; BCL2L1; CCNE2; COL6A6; EFNA5; EPOR; FGF17; GNG4; KITLG; MET; PHLPP1; RET; VTN,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,p53_signaling,6,74,1294,20753,0.31428314564707666,BCL2L1; CCNE2; GADD45G; PERP; RPRM; TP73,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Chemokine_signaling,8,186,1294,20753,0.8998992828889385,ADCY1; GNG4; GRK1; PLCB4; PRKACB; PRKACG; SHC2; SHC4,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Cytokine_receptor_interaction,11,289,1294,20753,0.974359943669326,ACVR1C; EPOR; GDF15; IL11; IL17RE; INHA; INHBE; TNFRSF11A; TNFRSF11B; TNFRSF14; TNFRSF25,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Antigen_processing_presentation,0,69,1294,20753,1.0,,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,PDL1_PD1_checkpoint,4,86,1294,20753,0.7918988732345614,MAP2K6; NFATC2; PPP3CA; TIRAP,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Pentose_phosphate_pathway,2,30,1294,20753,0.5660835191004806,ALDOA; PFKP,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Arachidonic_acid_metabolism,3,61,1294,20753,0.741418004232375,CYP2C19; CYP4F3; PLB1,1.0
